,PublishDate,Tweets,CleanedTweet
3846,2020-02-05 20:48:12+00:00,One of the simplest measures public health officials are urging people to take to protect themselves from the coronavirus? Wash your hands. Which got #NPRShortWave thinking — when did people realize hand-washing is so important? Listen below,"['measure', 'health', 'people', 'hand', 'people', 'hand', 'washing']"
3847,2020-02-05 20:48:00+00:00,#ChinaTech: Smart disinfection robots used at hospitals in central China's Wuhan in fight against novel #coronavirus outbreak,"['disinfection', 'robot', 'use', 'hospital']"
3848,2020-02-05 20:46:45+00:00,"A 30-hour-old infant born to a coronavirus patient in Wuhan, China, has become the youngest person to catch the new #coronavirus. While this case suggests the virus could jump from mom to baby in utero (like HIV or Zika), experts suggest that's improbable. ","['infant', 'person', 'case', 'virus', 'mom', 'baby', 'expert']"
3849,2020-02-05 20:45:40+00:00,"This Chinese doctor tried to save lives, but was silenced. Now he has coronavirus http://bit.ly/382DRJ9","['doctor', 'life']"
3850,2020-02-04 23:20:07+00:00,"As the Wuhan coronavirus continues to spread beyond China, federal public health officials in the US are taking a rare step: issuing a mandatory quarantine -- the first one in more than 50 years ","['health', 'step', 'issue', 'year']"
3851,2020-02-04 23:19:52+00:00,Why are we panicked about coronavirus — and calm about the flu? Medical doctors and psychologists agree that humans are wired to fear the unknown more than the evils they face every day. #IDTwitter #2019nCoV #coronavirus,"['flu', 'doctor', 'psychologist', 'wire', 'fear', 'face', 'day']"
3852,2020-02-04 23:19:09+00:00,"Some good, dispassionate technical info on likely coronavirus scenarios ",['scenario']
3853,2020-02-04 23:18:37+00:00,"Today, @US_FDA issued an emergency use authorization for @CDCgov's 2019 novel #coronavirus diagnostic, allowing the use of the test at any CDC-qualified lab across the country: ","['today', 'issue', 'emergency', 'use', 'authorization', 'use', 'test', 'lab', 'country']"
3854,2020-02-04 23:18:16+00:00,We will keep New Yorkers informed as the #coronavirus situation develops. The response and care this patient received reflects how well the systems we have in place are working.,"['situation', 'response', 'care', 'system', 'place', 'work']"
3855,2020-02-04 23:18:12+00:00,Guo’s Remarks: The CCP government officially declares the coronavirus as man-made by the Americans https://gnews.org/102888/ via @Gnews202064,"['government', 'man']"
3856,2020-02-04 23:16:50+00:00,[thread 1/3] Katsucon 2020 fb group deleted my post pointing out the hazards that people could face with the stigma of the coronavirus. I just wanted to point out something important so that we all have a positive and safe experience. But after less than 10 min i noticed that-,"['group', 'point', 'people', 'face', 'point', 'experience', 'notice']"
3857,2020-02-04 23:16:00+00:00,"Two Indonesian women who allegedly posted misinformation online about coronavirus have been arrested, police said, as they warned dozens of hoaxes were being rapidly shared by the country's millions of internet users ","['woman', 'misinformation', 'arrest', 'police', 'dozen', 'share', 'country', 'internet', 'user']"
3858,2020-02-04 23:15:51+00:00,"#Coronavirus UPDATE: Initial batch of repatriated Filipinos from China to arrive at the Clark Int’l Airport on Saturday and transported to Fort Magsaysay for quarantine, Presidential Spokesman Salvador Panelo says. | via @arianne_merez","['update', 'transport', 'spokesman']"
3859,2020-02-04 23:15:24+00:00,Virus Outbreak: Japan have confirmed about 10 cases of coronavirus from a cruise liner in the port of Yokohama near Tokyo,"['virus', 'case', 'cruise', 'port']"
3860,2020-02-04 23:15:23+00:00,"Coronavirus in New York: Suspected Case Is Ruled Out A woman hospitalized in the city tested negative for the illness, officials said. Results are pending on tests for two other patients. https://www.nytimes.com/2020/02/04/nyregion/nyc-coronavirus-test.html?smid=nytcore-ios-share via @NYTimes","['case', 'rule', 'woman', 'city', 'test', 'result', 'test']"
3861,2020-02-04 23:13:40+00:00,Novel coronavirus: FDA issues Emergency Use Authorization for the first diagnostic test - This is great news that will allow for expanded testing to State Public Health laboratories. #2019nCoV ⁦@colleenkraftmd⁩,"['issue', 'emergency', 'use', 'authorization', 'test', 'news', 'testing', 'state', 'health']"
3862,2020-02-04 23:13:03+00:00,"Powerful story by @EvaSailEast about a daughter's desperate attempts to save her mother who had contracted #coronavirus. Chen traveled from England back to her Wuhan to help her mom get treatment. 'If I didn’t get back home, she would have died.' ","['story', 'daughter', 'mother', 'contract', 'travel', 'help', 'mom', 'treatment', 'home']"
3863,2020-02-04 23:12:20+00:00,BREAKING: Results have come back negative for the first possible case of coronavirus in NYC. Two other cases are still pending.,"['result', 'case', 'case']"
